English,Hausa
I'm debating whether to get a gym membership.,Ina muhawara ko zan sami memba na dakin motsa jiki.
I'm feeling really nostalgic today.,Ina jin dadi sosai a yau.
I'm trying to drink more water.,Inaƙ oƙ arin sha ruwa.
I should probably go to bed earlier.,Wataƙ ila ya kamata in kwanta da wuri.
I'm considering getting a new phone.,Ina la'akari da samun sabon waya.
I'm feeling really motivated to make a change.,Ina jinƙ arfin rai sosai don yin canji.
I'm debating whether to buy a new car.,Ina muhawara ko in sayi sabuwar mota.
I need to start budgeting better.,Ina bukatan fara kasafin kuɗ i da kyau.
I'm thinking of redecorating my bedroom.,Ina tunanin sake gyara dakin kwana na.
I'm feeling really grateful for everything.,Ina jin godiya sosai ga komai.
I'm trying to be more spontaneous.,Inaƙ oƙ arin zama na shiru.
I should probably start meal planning.,Wataƙ ila in fara tsarin abinci.
I'm debating whether to go on a diet.,Ina muhawara ko zan ci abinci.
I'm feeling really overwhelmed with work.,Ina jin matukar damuwa da aiki.
I'm considering moving to a new city.,Ina tunanin komawa wani sabuwar birni.
I'm thinking of starting a new business.,Ina tunanin fara sabon kasuwanci.
I need to start meditating more.,Ina bukatar inƙ ara fara tunani.
I'm feeling really adventurous lately.,Ina jin kasada sosai kwanan nan.
I should probably start journaling.,Wataƙ ila in fara rubutun rubutu.
I'm debating whether to get a pet.,Ina muhawara ko zan sami dabba.
I'm feeling really bored with my routine.,Ina jin gundura da yadda nake yau da kullun.
I'm considering taking up a new sport.,Ina la'akari daɗ aukar sabon wasa.
I'm thinking of going on a solo trip.,Ina tunanin tafiya ta kadai.
I need to start practicing gratitude.,Ina bukatan fara aiwatar godiya.
I'm feeling really indecisive about my future.,Ina jin rashin yanke shawara sosai game da makomara.
I'm debating whether to go back to school.,Ina muhawara ko in koma makaranta.
I'm thinking of volunteering more.,Ina tunaninƙ arin sa kai.
I'm feeling really anxious about the future.,Ina jin damuwa sosai game da gaba.
I should probably start decluttering my space.,Wataƙ ila zan fara tattara sararin samaniyata.
I'm considering starting a new career.,Ina la'akari da fara sabon aiki.
I'm thinking of going on a digital detox.,Ina tunanin tafiya a kan wani sabon hanyar dijital.
I need to start setting boundaries.,Ina bukatan fara saita iyakoki.
I'm feeling really stuck in a rut.,Ina jin daɗ in makale a cikin rut.
I'm debating whether to take a sabbatical.,Ina muhawara ko zan yi sabon abu.
I'm thinking of simplifying my life.,Ina tunanin sauƙ aƙ a rayuwata.
I'm feeling really optimistic about what's to come.,Ina jin kwarin gwiwa sosai game da abin da zai zo.
